Family	Known Compounds
Flammeovirgaceae	7
Gastrothylacidae	7
Glomeraceae	7
Haematococcaceae	7
Haloferacaceae	7
Haplomitriaceae	7
Helicidae	7
Herpetosiphonaceae	7
Hydrozoanthidae	7
Inocybaceae	7
Isochrysidaceae	7
Iteaceae	7
Limulidae	7
Marcgraviaceae	7
Moschidae	7
Myodocarpaceae	7
Ochrolechiaceae	7
Paramphistomidae	7
Pleomassariaceae	7
Pseudomelatomidae	7
Repetobasidiaceae	7
Saccharomycopsidaceae	7
Sarcoscyphaceae	7
Stichodactylidae	7
Strelitziaceae	7
Suidasiidae	7
Tachinidae	7
Talinaceae	7
Terebellidae	7
Tetrachondraceae	7
Trichosporonaceae	7
Trypetheliaceae	7
Xanthidae	7
Ahnfeltiaceae	6
Alopiidae	6
Aptandraceae	6
Cabombaceae	6
Cicadidae	6
Conidae	6
Coulaceae	6
Cystobasidiaceae	6
Desulfurobacteriaceae	6
Diadematidae	6
Entolomataceae	6
Euchaetidae	6
Euplectellidae	6
Haematommataceae	6
Holopodidae	6
Ixodidae	6
Lycaenidae	6
Mantellidae	6
Mayacaceae	6
Nitrosomonadaceae	6
Parmulariaceae	6
Proisocrinidae	6
Ptychoderidae	6
Roussoellaceae	6
Ruminococcaceae	6
Saprospiraceae	6
Silphidae	6
Sinipercidae	6
Siphonocladaceae	6
Temnopleuridae	6
Tetranychidae	6
Thraustochytriaceae	6
Tilachlidiaceae	6
Trochidae	6
Tylodinidae	6
Unionidae	6
Acaulosporaceae	5
Agaraceae	5
Aglaopheniidae	5
Alcanivoracaceae	5
Auriculariaceae	5
Brucellaceae	5
Cambaridae	5
Campylobacteraceae	5
Canidae	5
Carangidae	5
Carcharhinidae	5
Carnobacteriaceae	5
Chlorococcaceae	5
Cimicidae	5
Clupeidae	5
Degeneriaceae	5
Delphinidae	5
Dictyochloridaceae	5
Echinidae	5
Eunicidae	5
Gadidae	5
Griseliniaceae	5
Haliangiaceae	5
Juncaginaceae	5
Lachnospiraceae	5
Leuconostocaceae	5
Lichtheimiaceae	5
Mithrodiidae	5
Muscidae	5
Niaceae	5
Oocystaceae	5
Parodiopsidaceae	5
Pediciidae	5
Phasianidae	5
Pneumocystidaceae	5
Poraniidae	5
Pycnoclavellidae	5
Sebastidae	5
Spirostreptidae	5
Stenopelmatidae	5
Thermoplasmataceae	5
Thermosporotrichaceae	5
Torricelliaceae	5
Tovelliaceae	5
Umbraculidae	5
Venturiaceae	5
Watersiporidae	5
Welwitschiaceae	5
Zoroasteridae	5
Alydidae	4
Amphoriscidae	4
Aplustridae	4
Arcidae	4
Ardeidae	4
Bacillidae	4
Bathynellidae	4
Blaberidae	4
Campynemataceae	4
Carabidae	4
Chloroflexaceae	4
Chrysotrichaceae	4
Clavariaceae	4
Coniophoraceae	4
Crocodylidae	4
Culicidae	4
Cyclobacteriaceae	4
Dalatiidae	4
Dietziaceae	4
Dinophysiaceae	4
Diplogasteridae	4
Elephantidae	4
Eudendriidae	4
Euthyroididae	4
Fistulinaceae	4
Gisekiaceae	4
Gryphidae	4
Helwingiaceae	4
Hexagrammidae	4
Hydnaceae	4
Hydridae	4
Intrasporangiaceae	4
Leucosoleniidae	4
Lophiostomataceae	4
Methanococcaceae	4
Myrothamnaceae	4
Pasteurellaceae	4
Pennatulidae	4
Phaffomycetaceae	4
Pipidae	4
Pithophoraceae	4
Pleuronectidae	4
Pleurostomataceae	4
Pocilloporidae	4
Podostemaceae	4
Portunidae	4
Pseudocerotidae	4
Pseudothelphusidae	4
Psolidae	4
Psychodidae	4
Reduviidae	4
Rubritaleaceae	4
Sandaracinaceae	4
Sarcophagidae	4
Spatangidae	4
Suidae	4
Surianaceae	4
Synaptidae	4
Thoosidae	4
Trionychidae	4
Ulotrichaceae	4
Vespertilionidae	4
Ancylistaceae	3
Aphloiaceae	3
Ascodesmidaceae	3
Atheliaceae	3
Babyloniidae	3
Batrachoididae	3
Belostomatidae	3
Bitectiporidae	3
